epoch,acc,loss,val_acc,val_loss
0,0.3117772577092511,1.5578187197643756,0.2803714859437751,1.5739389333990124
1,0.39310297356828194,1.3838825789382805,0.28865461847389556,1.5520509082761107
2,0.43622659691629956,1.298428560931252,0.27547690763052207,1.5776383930529339
3,0.7562637665198237,0.6393355696722619,0.6635291164658634,1.085618680158592
4,0.8873898678414097,0.31350839851190243,0.7771084337349398,0.7139514716282644
5,0.9183989537444934,0.2225535901928834,0.7789909638554217,0.6991221431209413
6,0.936914922907489,0.175204126053479,0.8107429718875502,0.7148672742003335
7,0.9347466960352423,0.18603116421240584,0.7087098393574297,1.6258794708077435
8,0.9455534140969163,0.15579030308639438,0.7570281124497992,1.082767134981769
9,0.948822962555066,0.16636811802838228,0.7517570281124498,1.0240229618146302
