epoch,acc,loss,val_acc,val_loss
0,0.4724669603524229,1.2566458969274412,0.44854417670682734,4.225644842835259
1,0.8936880506607929,0.2897047408516565,0.6183483935742972,1.7234870611109439
2,0.9317868942731278,0.1994890558977156,0.5755522088353414,3.2229256944548483
3,0.9446930066079295,0.1583865971359623,0.5582329317269076,4.513827214614563
4,0.9504749449339207,0.13607830237428328,0.5360190763052208,4.936053212818696
5,0.9562224669603524,0.14686363972535094,0.5276104417670683,4.257219098053664
6,0.9593543502202643,0.11415977305850622,0.5156877510040161,6.197408840831707
7,0.9595608480176211,0.11622942601655224,0.5347640562248996,4.944803033697909
8,0.963862885462555,0.09573380278060198,0.5950050200803213,3.884790690662563
9,0.9610751651982379,0.10779715313561877,0.5074046184738956,5.744867349011258
