epoch,acc,loss,val_acc,val_loss
0,0.750585077092511,0.638746246560128,0.6473393574297188,1.594680316018487
1,0.9203950991189427,0.21728059137198383,0.6497238955823293,1.621479161130708
2,0.9353317731277533,0.17882002252264956,0.6710592369477911,1.5559531004500091
3,0.9446585903083701,0.15038730205144685,0.6034136546184738,3.006023776038008
4,0.9470677312775331,0.14400582314796626,0.6754518072289156,1.6112858313077734
5,0.9492703744493393,0.16930379170294285,0.6583835341365462,2.0223320869070416
6,0.944142345814978,0.1500766749660017,0.6888805220883534,2.0464981924882006
7,0.9558094713656388,0.11818291115356253,0.6684236947791165,1.6661842415573576
8,0.9559815528634361,0.1326137972108216,0.6528614457831325,3.2309451795576356
9,0.960352422907489,0.10565162248715977,0.6040411646586346,3.9597943982858776
