epoch,acc,loss,val_acc,val_loss
0,0.8453675660792952,0.43908685364423006,0.5534638554216867,2.3296475477552474
1,0.9397714757709251,0.17192213695533118,0.4572038152610442,2.1498395775043404
2,0.9497177863436124,0.14784491094913327,0.4014809236947791,3.0513460226956792
3,0.956050385462555,0.11971593662213906,0.4252008032128514,2.823415688393821
4,0.9619011563876652,0.10415611161329953,0.527359437751004,2.1347537964246874
5,0.9635187224669604,0.09728779494654213,0.4890813253012048,3.441855553735322
6,0.9683025881057269,0.08341539053637936,0.5342620481927711,6.753318901434273
7,0.9666850220264317,0.0876270374737391,0.4888303212851406,6.4777520923630085
8,0.9719507158590308,0.07053719488863447,0.526355421686747,5.116170109634361
9,0.9688188325991189,0.08429107134733796,0.5333835341365462,4.427477121070928
10,0.9702643171806168,0.07711338315570702,0.5303714859437751,2.513582574436078
11,0.9700234030837004,0.07596757326430234,0.5543423694779116,1.9606099271051112
12,0.9723981277533039,0.0749439484266114,0.4595883534136546,5.327349757026509
13,0.9739468612334802,0.0655063082496293,0.5247238955823293,2.950092196361681
14,0.9732585352422908,0.06559002903722745,0.48142570281124497,5.550713348975947
15,0.9731897026431718,0.06872409909374434,0.5169427710843374,2.803717847356317
16,0.9739812775330396,0.06603102984521228,0.5938755020080321,4.4135294804890375
17,0.9733962004405287,0.06860762236368306,0.4776606425702811,5.62356847536843
18,0.9752890969162996,0.06451359916958278,0.397464859437751,6.3377692530900696
19,0.9725013766519823,0.07009043119291128,0.552710843373494,4.435506978701619
